ticker,date,ret,ret_raw,rs,tier,is_vcp,dist
MDB,2023-10-19,-8.0,15.48,99,C,False,-17.0
MDB,2023-11-17,8.9,8.9,99,B,False,-9.0
MDB,2023-12-19,-8.0,-12.11,89,B,False,-5.8
HUBS,2020-11-16,48.61,48.61,99,B,False,-8.4
HUBS,2020-12-16,18.41,18.41,99,A,True,-4.6
HUBS,2021-02-18,-8.0,-5.65,99,A,False,-1.9
HUBS,2021-03-19,32.42,32.42,99,C,False,-17.5
HUBS,2021-05-19,32.79,32.79,99,C,False,-14.8
HUBS,2021-06-18,17.38,17.38,99,A,False,0.0
HUBS,2021-07-20,39.23,39.23,99,B,False,-5.3
HUBS,2021-08-18,31.42,31.42,96,A,False,-2.8
HUBS,2021-09-17,-8.0,-6.6,99,A,True,-1.1
HUBS,2021-10-18,-8.0,-44.3,99,A,False,0.0
HUBS,2021-11-16,-8.0,-36.3,99,A,False,0.0
HUBS,2021-12-16,-8.0,-24.43,71,C,False,-23.6
HUBS,2023-06-21,-0.53,-0.53,90,B,False,-8.7
